pathway,M1(n=11),M2(n=10),M3(n=10),M4(n=10),M5(n=9),M6(n=9),M7(n=8),M8(n=6),M9(n=5),M10(n=4),M11(n=2)
NO₃→NO₂ (nap/nar),0.1455,0.1400,0.2800,0.1600,0.1778,0.1556,0.2250,0.5333,0.0800,0.3000,0.0000
NO₂→NO (nir),0.2273,0.6000,0.4500,0.3500,0.1667,0.2778,0.3750,0.2500,0.2000,0.2500,0.5000
NO→N₂O (nor),0.4091,0.3000,0.4000,0.4000,0.3889,0.2778,0.3125,0.3333,0.4000,0.2500,0.0000
N₂O→N₂ (nos),0.3636,0.6000,0.9000,0.5000,0.4444,0.3333,0.3750,0.5000,0.6000,0.5000,1.0000
DNRA,0.2955,0.4000,0.1250,0.0500,0.2222,0.2222,0.3125,0.3750,0.2500,0.1875,0.3750
PolyP,0.3636,0.6000,0.5667,0.4000,0.3704,0.3333,0.5000,0.4444,0.4667,0.4167,0.5000
Phosphate,0.5568,0.9875,0.9500,0.6125,0.6944,0.5278,0.7344,0.7708,0.4250,0.5938,0.9375
PHA,0.3182,0.5000,0.7500,0.5500,0.5556,0.4722,0.7188,0.8750,0.4500,0.5625,0.2500
Glycogen,0.5273,0.6400,0.6600,0.2600,0.2667,0.3778,0.6500,0.3333,0.4800,0.3500,0.7000
Acetate,0.3636,0.4333,0.5667,0.4000,0.5185,0.3704,0.6250,0.5556,0.4000,0.4167,0.3333
Propionate/PHV,0.2909,0.3400,0.4400,0.3400,0.2889,0.4000,0.3750,0.4333,0.2000,0.4000,0.3000
