ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
nirB/D	CAN_1_bin.210	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_1_bin.77	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_1_bin.98	1.352150	1.330911	1.353285	1.532425	1.141607
nirB/D	CAN_2_bin.125	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_2_bin.159	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_2_bin.6	2.015227	2.215419	2.118347	1.742760	1.179481
nirB/D	CAN_3_bin.203	1.880255	1.909500	1.781799	1.790848	2.273523
nirB/D	CAN_3_bin.221	9.994130	9.182084	9.616456	13.747641	8.101686
nirB/D	CAN_4_bin.116	0.191143	0.080350	0.182280	1.693644	1.158055
nirB/D	CAN_5_bin.106	1.838238	1.766515	1.775430	2.003734	1.781971
nirB/D	CAN_5_bin.112	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_5_bin.147	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_5_bin.177	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	CAN_5_bin.40	1.780980	1.506953	1.824787	1.539932	0.593784
nirB/D	CAN_5_bin.70	3.238068	4.333060	4.164873	1.520880	1.357653
nirB/D	coasm_bin.185	1.336577	1.223404	1.162960	1.296685	1.382985
nirB/D	coasm_bin.260	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	coasm_bin.481	0.000000	0.000000	0.000000	0.000000	0.000000
nirB/D	coasm_bin.55	0.007696	0.019981	0.020460	0.561242	1.804718
nirS	CAN_1_bin.210	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_1_bin.77	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_1_bin.98	2.018950	2.065542	1.909924	1.978216	1.366193
nirS	CAN_2_bin.125	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_2_bin.159	2.410163	1.881784	2.020201	3.037162	2.343263
nirS	CAN_2_bin.6	3.719857	5.057336	5.024860	2.296161	2.135177
nirS	CAN_3_bin.203	2.262503	2.027060	2.387696	2.659857	3.080592
nirS	CAN_3_bin.221	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_4_bin.116	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_5_bin.106	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_5_bin.112	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_5_bin.147	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	CAN_5_bin.177	2.357303	1.965593	1.865458	3.296161	4.552279
nirS	CAN_5_bin.40	1.740644	1.839574	2.119143	0.960163	0.438945
nirS	CAN_5_bin.70	3.852997	5.610987	5.515466	1.694791	1.368680
nirS	coasm_bin.185	1.694501	1.237029	1.376605	1.454655	1.494048
nirS	coasm_bin.260	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	coasm_bin.481	0.000000	0.000000	0.000000	0.000000	0.000000
nirS	coasm_bin.55	0.387414	0.195576	0.228869	4.878309	2.810597
nirK	CAN_1_bin.210	3.608764	3.053905	3.286809	3.621095	2.657172
nirK	CAN_1_bin.77	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_1_bin.98	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_2_bin.125	3.316597	2.882171	3.269670	1.127670	0.560663
nirK	CAN_2_bin.159	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_2_bin.6	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_3_bin.203	0.000000	0.000000	0.000000	0.000000	0.000000
