mag	genome_len_bp	CAN_1_mapped_reads	CAN_2_mapped_reads	CAN_3_mapped_reads	CAN_4_mapped_reads	CAN_5_mapped_reads	CAN_1_avg_depth	CAN_2_avg_depth	CAN_3_avg_depth	CAN_4_avg_depth	CAN_5_avg_depth
CAN_1_bin.174	1166702	109089	20493	40847	16905	14563	0.0935	0.0176	0.0350	0.0145	0.0125
CAN_1_bin.210	3941745	167597	162194	233983	170626	45131	0.0425	0.0411	0.0594	0.0433	0.0114
CAN_1_bin.77	5985155	173903	181895	255815	219549	658569	0.0291	0.0304	0.0427	0.0367	0.1100
CAN_1_bin.98	5022376	774972	493834	743777	2495143	1240158	0.1543	0.0983	0.1481	0.4968	0.2469
CAN_2_bin.125	3440139	190995	262613	371576	28807	17382	0.0555	0.0763	0.1080	0.0084	0.0051
CAN_2_bin.159	2816656	116922	95035	138821	147652	69959	0.0415	0.0337	0.0493	0.0524	0.0248
CAN_2_bin.6	3163088	319983	299284	435743	121596	54010	0.1012	0.0946	0.1378	0.0384	0.0171
CAN_3_bin.203	4236105	181081	172877	249286	255747	1159295	0.0427	0.0408	0.0588	0.0604	0.2737
CAN_3_bin.221	3823334	259325	129466	192666	259412	158628	0.0678	0.0339	0.0504	0.0678	0.0415
CAN_4_bin.116	3624861	319577	241049	351462	440722	276604	0.0882	0.0665	0.0970	0.1216	0.0763
CAN_5_bin.106	2984512	2021958	1613107	2313891	956864	689072	0.6775	0.5405	0.7753	0.3206	0.2309
CAN_5_bin.112	4028776	13228	9383	13915	106485	673744	0.0033	0.0023	0.0035	0.0264	0.1672
CAN_5_bin.147	3696231	154725	57304	96554	135308	106934	0.0419	0.0155	0.0261	0.0366	0.0289
CAN_5_bin.177	4245465	233557	199183	289671	175693	90483	0.0550	0.0469	0.0682	0.0414	0.0213
CAN_5_bin.40	3501042	115635	174624	222583	52937	60214	0.0330	0.0499	0.0636	0.0151	0.0172
CAN_5_bin.70	3721586	232685	270135	386298	777634	285891	0.0625	0.0726	0.1038	0.2090	0.0768
CAN_5_bin.90	1137081	848	504	698	103800	126960	0.0007	0.0004	0.0006	0.0913	0.1117
coasm_bin.185	4222546	733252	363612	558824	2016834	5160306	0.1737	0.0861	0.1323	0.4776	1.2221
coasm_bin.260	5808007	15061	12231	18071	108949	274683	0.0026	0.0021	0.0031	0.0188	0.0473
coasm_bin.481	6260831	285847	117832	187312	447991	696037	0.0457	0.0188	0.0299	0.0716	0.1112
coasm_bin.55	4171001	222750	171595	251371	226037	475912	0.0534	0.0411	0.0603	0.0542	0.1141
