asv,asv_len,rel_ab,midas_taxonomy,best_organism,best_genome_id,best_align_score,best_identity,best_edlib_distance,best_genus,best_family
003284e7643a47fcdab27891cced2a66,391,0.002329,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales D05-2 midas_g_31688 midas_s_31688,Roseibium sp. SCPC15,3141376.3,732.0,0.9744,10,Roseibium,Stappiaceae
00513cae3b2877bc7a7730f40312f97f,370,0.000563,Bacteria Proteobacteria Gammaproteobacteria Competibacterales Competibacteraceae Ca_Competibacter,Candidatus Competibacteraceae bacterium strain Ejby_18-Q3-R6-50_MAXAC.193,2053538.22,586.0,0.9169,31,,Candidatus Competibacteraceae
005cf4f1d005d86d57ffdd01808ea21e,370,0.033629,Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Aurantisolimonas,Phnomibacter sp. MR,3042318.3,725.0,0.9919,3,Phnomibacter,Chitinophagaceae
006a3bfa4e7ea6a4788e31b776b7e6c1,373,0.001674,Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingopyxis midas_s_41450,Sphingomonadaceae bacterium 3R27E2-A,2502221.3,721.0,0.9866,5,,Sphingomonadaceae
00857485ad05de1627ccc3881aaabdb0,374,0.000556,Bacteria Myxococcota bacteriap25 midas_o_25924 midas_f_73008 midas_g_73008 midas_s_73008,Deltaproteobacteria bacterium strain EsbW_18-Q3-R4-48_MAXAC.279_cln,2026735.712,633.0,0.9385,23,,
009564af4e60c5118899caed7c0dd586,370,0.018603,Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Sediminibacterium Sediminibacterium_salmoneum,Sediminibacterium sp. UR_AS_maxbin.023,1917865.128,735.0,0.9973,1,Sediminibacterium,Chitinophagaceae
00a674ff1b3eedd6d12d958bed100a74,374,0.00044,Bacteria Bdellovibrionota Oligoflexia 0319-6G20 midas_f_2390 midas_g_6890,Bdellovibrionaceae bacterium strain HK-STAS-BDEL_A-1,2026715.45,653.0,0.9492,19,,Pseudobdellovibrionaceae
00c3ca16f3d6ddeff7533f98676fa214,374,0.00032,Bacteria Chloroflexi Anaerolineae Caldilineales Caldilineaceae midas_g_1668 midas_s_30548,Candidatus Paceibacterota bacterium UR_AS_maxbin.219,2053589.824,733.0,0.992,3,,
00db0c0419e71a3222dc483990c535b9,543,0.153785,Bacteria,Klebsiella pneumoniae 18443,573.95363,320.0,1.0,220,Klebsiella,Enterobacteriaceae
00dd8e42dc15418793a226b9e5a15faf,350,0.001196,Bacteria,uncultured archaeon SRR24791474_concoct_53,115547.858,104.0,0.7174,135,,
00f36962721c382fa009aab208745ba0,375,0.00067,Bacteria Actinobacteriota Acidimicrobiia Microtrichales Microtrichaceae midas_g_10988 midas_s_28486,Microthrixaceae bacterium strain HK-STAS-ACTI-7,2497627.21,735.0,0.992,3,,Microthrixaceae
00f9ebbd116e56c9858776b48b74565e,396,0.000257,Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Luteimonas midas_s_58718,Luteimonas sp. M1R5S18,3042024.4,772.0,0.9899,4,Luteimonas,Lysobacteraceae
