asv,best_identity,rel_ab,shared_of_20,raw_overlap_pct,score_aware_overlap_pct,midas_tail
2de51305ef2028d4cddda1bf624751e0,0.8421,0.014978,0,0.00,0.00,Bacteria
37db70e012bf5664d4a4afaeb693b1ba,0.8750,0.000815,0,0.00,0.00,Bacteria
549f5512ae914999d706ca468de179c8,0.8553,0.040314,0,0.00,5.00,Bacteria
1292d7e371f721b59a32d4c414279327,0.8795,0.012005,1,5.00,5.00,Nucletmycea
23e3bc20f75455e749a0d1e94fc52d99,0.8815,0.032624,1,5.00,5.00,Nucletmycea
25b9e6367954f2a0eb85a050968eaf87,0.9808,0.012446,1,5.00,5.00,Nucletmycea
27d1e7325ba5c557615f400ee3bdc01f,0.8918,0.100786,1,5.00,5.00,
37e5626f48475dd1213c48298f514e2f,0.9959,0.053770,1,5.00,5.00,Fungi
3a3de6088d68ad7bc2a1a77cb7a00670,0.7135,0.042017,1,5.00,5.00,
3c05d1982160cf74d846c129cab36b89,0.9462,0.029903,1,5.00,5.00,midas_g_118806
406ea3ff4efc5f66c16fec95e6cba1dd,0.8330,0.020029,1,5.00,5.00,Nucletmycea
63b55f1fe89be2c277b0a1b8fda49f65,0.9481,0.013378,1,5.00,5.00,midas_g_118806
7cb891f269b47dd8f2305e10c09c1e07,0.7060,0.046125,1,5.00,5.00,
8e1b23e86ce93863278100bbf85ac482,0.7177,0.000403,1,5.00,10.00,Bacteria
9794354a616806c17892bec88519f87f,1.0000,0.020552,1,5.00,10.00,Nucletmycea
9fe7e3a22967666046b599318ffe3f31,0.8094,0.008164,1,5.00,5.00,Nucletmycea
a71869db00864a730e933cbc4995f09d,0.7566,0.000728,1,5.00,5.00,Nucletmycea
ba9ad45340b6251af70d589183999f1e,0.7165,0.162065,1,5.00,5.00,
c9c4daa9cccd911d49cd8234abf36a18,0.9808,0.007939,1,5.00,10.00,Nucletmycea
2312e5308f3175a35b1dc7bfe43f43c2,0.7895,0.000582,2,10.00,10.00,Bacteria
14d2a94a12d09a88d90c4754ce23af60,0.9184,0.012745,3,15.00,30.00,Bacteria
1e6d6da38fe7326ced38f5bc3eab202e,0.8152,0.001512,3,15.00,15.00,Bacteria
405fd2f13059afa32739e18fdcb20901,0.8095,0.000717,3,15.00,30.00,Bacteria
57aeaad62fd7f0f3b7157cc9197810d9,0.8152,0.002241,3,15.00,15.00,Bacteria
5e369a1e515f6759fc972af88ad82bcd,0.8152,0.001411,3,15.00,15.00,Bacteria
68ff4d31d5246f8d015f935c41fea267,0.8152,0.001675,3,15.00,15.00,Bacteria
