Date_key,Date,DO_Avg_1350_1410,,DO_Max_1350_1410,ANA_ORP_Min_0850_0945,AER_ORP_Max_1350_1410,ANA_ORP_Slope1,ANA_ORP_Slope2,ANA_ORP_Slope3,ANO_Slope1,ANO_Slope2,ANO_Slope3,ANO_Peak_ORP_C1,ANO_Peak_Time_C1,ANO_Peak_Minutes_C1,ANO_Peak_ORP_C2,ANO_Peak_Time_C2,ANO_Peak_Minutes_C2,ANO_Peak_ORP_C3,ANO_Peak_Time_C3,ANO_Peak_Minutes_C3,ANO_Turn_ORP_C1,ANO_Turn_Time_C1,ANO_Turn_Minutes_C1,ANO_Turn_ORP_C2,ANO_Turn_Time_C2,ANO_Turn_Minutes_C2,ANO_Turn_ORP_C3,ANO_Turn_Time_C3,ANO_Turn_Minutes_C3
1/27/2023,#NAME?,8.890909091,,8.94,260,324,-0.080357142,9.92E-04,-0.015376984,0.001017157,0.003419118,0.013737374,302,12:24:00,169,284,17:56:00,21,251,4:18:00,163,302,12:30:00,175,284,17:58:00,23,251,4:34:00,179
1/28/2023,#NAME?,7.955454545,,8.01,466,459,-0.038988095,0.116170635,-0.00515873,5.88E-04,0,-8.17E-17,467,10:14:00,39,466,17:36:00,1,473,1:48:00,13,463,12:30:00,175,466,17:58:00,23,473,4:34:00,179
1/29/2023,#NAME?,8.345454545,,8.43,466,467,-0.017460317,-0.002678571,-0.006547619,1.59E-04,0,1.63E-16,466,9:36:00,1,465,17:36:00,1,468,2:00:00,25,466,12:30:00,175,465,17:58:00,23,463,4:34:00,179
1/30/2023,#NAME?,8.447272727,,8.56,465,462,0.213293651,0.091369048,0.112797619,0,-1.84E-04,0.002020202,465,9:36:00,1,460,17:56:00,21,460,1:36:00,1,462,12:30:00,175,460,17:58:00,23,460,4:34:00,179
1/31/2023,#NAME?,8.736363636,,8.83,331,314,-0.079662698,-0.012103175,0.003869048,-0.002328431,-0.00185049,-0.001717172,332,9:36:00,1,328,17:36:00,1,281,1:36:00,1,318,12:30:00,175,326,17:58:00,23,265,4:34:00,179
2/1/2023,#NAME?,8.805454545,,8.89,238,229,-0.011309524,-0.009821429,-0.102678571,-1.84E-04,-9.19E-04,-7.58E-04,239,9:36:00,1,-77,17:36:00,1,241,1:36:00,1,234,12:30:00,175,-79,17:58:00,23,236,4:34:00,179
2/2/2023,#NAME?,0.247272727,,0.34,-189,-15,-0.069345238,-0.115079365,-0.15218254,-0.012132353,-0.005772059,-0.006818182,-186,9:36:00,1,-181,17:36:00,1,-129,1:36:00,1,-198,12:30:00,175,-190,17:58:00,23,-129,1:36:00,1
2/3/2023,#NAME?,1.755454545,,2.43,-183,96,-0.18452381,-0.167261905,-0.198809524,-0.006311275,-0.00495098,-0.005606061,-89,12:30:00,175,-192,17:36:00,1,-100,4:34:00,179,-89,12:30:00,175,-199,17:58:00,23,-100,4:34:00,179
2/4/2023,#NAME?,2.932727273,,3.25,-174,143,-0.198313492,-0.218452381,-0.215079365,-0.005747549,-0.00682598,-0.007878788,-65,12:30:00,175,-168,17:36:00,1,-67,4:34:00,179,-65,12:30:00,175,-168,17:36:00,1,-67,4:34:00,179
2/5/2023,#NAME?,1.419090909,,1.69,-172,157,-0.26656746,-0.268353175,-0.272023809,-0.005453431,-0.006531863,-0.010707071,-70,12:30:00,175,-162,17:36:00,1,-59,4:34:00,179,-70,12:30:00,175,-175,17:58:00,23,-59,4:34:00,179
