MAG,CAN_1,CAN_2,CAN_3,CAN_4,CAN_5
CAN_1_bin.148,0.0036117280000000002,0.0044856828,0.004445603,0.0009906749400000001,0.0001912418
CAN_1_bin.174,0.03028026,0.007001495,0.010296311,0.005247412,0.0034591203999999997
CAN_1_bin.177,0.0032671753,0.0025889456,0.0026138085,0.0036717355000000004,0.0015383338999999999
CAN_1_bin.180,0.0025463966,0.000756154,0.0010031086,0.00022631751,3.5690349999999996e-05
CAN_1_bin.195,0.00320921,0.0006578769499999999,0.0010343463,0.0044082725,0.0018365052
CAN_1_bin.2,0.0018942697,0.00046099175,0.0008167207999999999,0.005366111999999999,0.0058359150000000005
CAN_1_bin.210,0.009766223400000001,0.013387656999999999,0.013225006,0.011006404999999999,0.0017629583
CAN_1_bin.48,0.0028684039999999997,0.00263992,0.0025929716,4.333648e-05,3.6826737e-05
CAN_1_bin.5,0.004824322,0.0033472067,0.0033047867,0.013089252000000001,0.017626096
CAN_1_bin.77,0.010532733,0.012878473999999999,0.012526771999999999,0.019967309,0.0495223
CAN_1_bin.84,0.005559483,0.004930177,0.005031585,0.0016031337,0.00027685614
CAN_1_bin.98,0.033631117,0.02515896,0.02536908,0.11391873000000001,0.04152378599999999
CAN_2_bin.125,0.022099880000000002,0.03671151,0.035104854,0.00058977336,0.00012579059
CAN_2_bin.151,0.0038112628,0.0069713837,0.0066402629999999995,0.0004941933,0.0010516544
CAN_2_bin.159,0.012928113000000001,0.00873372,0.0089371943,0.02519797,0.007934008
CAN_2_bin.173,0.00068493105,0.0018541928,0.0017080843,0.00020102732000000002,0.00015770938000000002
CAN_2_bin.176,0.0042083472,0.0070368177,0.0066692669999999996,0.00046371967,0.00039868753
CAN_2_bin.23,0.0059858215,0.008841831,0.00836177,0.00048997022,0.0006375825
CAN_2_bin.6,0.017174283999999998,0.006393228,0.007236849,0.007495628600000001,0.00031772703
CAN_2_bin.66,0.0009821035,0.0013882783,0.0014059149000000002,0.0004922675,0.00022417676
CAN_3_bin.10,0.001780797,0.0021978724999999998,0.0021605193999999998,0.0010399804,0.00054172423
CAN_3_bin.124,0.0007597607000000001,0.0011443139,0.00113679916,0.00036745213,0.0003886281
CAN_3_bin.13,0.003405748,0.007058747,0.006735426,0.00025350183,0.00010741315
CAN_3_bin.203,0.011231012,0.013682196,0.014014921,0.017553350000000002,0.08587045
CAN_3_bin.205,0.0006902730499999999,0.001400278,0.0014354233,0.000125827165,3.814401e-05
CAN_3_bin.208,0.0015803835,0.0017901538000000001,0.0017886083,0.00046241127,0.00048718296
CAN_3_bin.216,0.001537082,0.006042058,0.005624593,0.00026300447,0.0005025122
CAN_3_bin.221,0.024742398,0.015776836000000002,0.017502598,0.025600282999999998,0.010145877999999999
CAN_3_bin.227,0.0009416305,0.0030479901999999996,0.0028900146,3.9149886e-05,4.3883547e-05
CAN_3_bin.43,0.0016024798,0.0021403077,0.002124295,0.0003965808,0.00011368987000000001
CAN_4_bin.103,0.00055725984,0.00017927859,0.00021148481999999999,0.0032218029999999996,0.0026403838000000003
CAN_4_bin.107,0.00025432616000000004,0.00021481265999999998,0.00022528354000000002,0.0006752872,0.00055526096
CAN_4_bin.11,0.00016663508,7.977543999999999e-05,9.636277000000001e-05,0.002969179,0.0018173586
CAN_4_bin.112,0.00020309307,9.243170999999999e-05,0.00011780639,0.00070295244,0.00013820715
CAN_4_bin.116,0.0093898207,0.0072770095,0.007587094,0.044066515,0.016175803
CAN_4_bin.142,0.00018770410000000002,0.00016016413,0.00017175866,0.0007189315000000001,2.0435199e-05
CAN_4_bin.152,0.00010809223,0.00012729396000000002,0.00013064072,0.0014293396,7.986815e-05
CAN_4_bin.154,0.00068387784,0.0008921233000000001,0.0008629631,0.00117077745,0.00025257831
CAN_4_bin.166,0.00033577725,0.0004649397,0.00049824517,0.0019024025,2.3363174e-05
CAN_4_bin.195,0.0011482416,0.0012226498,0.0012462244,0.0069225675,0.001268616
CAN_4_bin.197,3.0950317e-05,3.3271848e-05,3.7444233999999996e-05,0.0025059342,0.0017868245999999998
CAN_4_bin.208,0.009226956,0.0078258026,0.0079769534,0.0022286953000000003,0.00012443404
CAN_4_bin.220,0.0010214783,0.000877506,0.0009382298,0.0024109787999999997,0.008043669
CAN_4_bin.225,0.0010162751000000001,0.0008285162,0.0008453731,0.002403324,0.0033592403
CAN_4_bin.236,0.05112934,0.12398246,0.11581905,0.004451171,0.0027337196
CAN_4_bin.238,0.0020889573,0.0010286229,0.00113446966,0.0031144348,0.002858225
CAN_4_bin.25,0.007925216,0.0076821965,0.007840970000000001,0.017895144,0.013014497
CAN_4_bin.35,0.00041633450000000004,0.00020956202999999999,0.00024301741,0.004082246,0.00028617730000000003
CAN_4_bin.38,0.00016963663,0.00016847411,0.00017181660000000002,0.00118189014,4.5146407000000004e-05
CAN_4_bin.44,0.0005361803200000001,0.00047955435,0.00050261807,0.0018861644999999998,0.0020687121
CAN_4_bin.62,0.00015796669,0.00013180911,0.00013860225000000002,0.001276129,0.00032893880000000003
CAN_4_bin.64,0.005256289,0.0022621340000000003,0.0025728825,0.0095984644,0.0036857723999999996
CAN_4_bin.70,0.00022807816,0.00014522538999999998,0.00015813282,0.0010819199,0.0005000065299999999
