,Acidovorax,Aeromonas,Anaerolineae,Azonexus,Azospira,Bacteria,Bosea,Ca_Accumulibacter,Ca_Caldilinea,Ca_Competibacter,Ca_Leptovillus,Ca_Sarcinithrix,Chitinophagaceae,Cloacibacterium,Comamonadaceae,Denitratisoma,Dokdonella,Edaphobaculum,Flavobacteriales,Flavobacterium,Flexifilaceae,Gracilibacteria,Holophagae,Hydrogenophaga,Ignavibacteria,Ignavibacteriales,Kapabacteriales,Leadbetterella,Lysobacter,Micavibrionales,Myxococcaceae,Pseudoxanthomonas,Rhizobiales,Rhodobacter,Rhodobacteraceae,Rhodospirillales,Rhodothermaceae,Saprospiraceae,Sphingobacteriales,Spirochaetaceae,Terrimonas,Thauera,Thermomonas,Williamwhitmaniaceae,Zoogloea,alphaI_cluster
Acidovorax,1.0,0.0012478589562462767,0.001899562468203009,0.6747496932960956,0.0012173256849790234,0.011232561867057735,0.08748299910954344,0.0007434398852629291,0.0004750485054523282,0.16133915015273548,7.356929966279928e-05,0.02748064909016567,0.7516198324327443,0.029426743685198993,0.00021369711401184757,0.013579989914950612,0.8585464343650295,0.07267578415623765,0.5864033758264396,0.004969543929561948,0.44706075070176066,0.03644280001130591,0.2112143309791322,0.0005285607990885799,0.11191247762519818,0.533467212638436,0.0017116103750281248,0.007126386309493085,0.06795297279490349,0.9447945049254103,0.01428404655084582,0.1837857753067717,0.3406931584470261,0.0034651688359666594,0.00023519854062795708,0.06516582389550322,0.00120312006198952,0.07755219345717507,0.5747337724798796,0.010170626835886395,0.8993557540845176,7.725904218500564e-05,0.11535621898302206,0.39717272747770005,0.02245805271523689,0.001595848362930239
Aeromonas,0.0012478589562462767,1.0,0.20499473914325547,0.005359554334841102,0.451139879470886,0.056692682530297675,0.059282905779675266,0.19541977821620082,0.05785193478322747,0.6391313010654565,0.6765667995744348,0.006037216963293458,0.21617371776342026,0.01329964568099647,0.7129816634617032,0.14800284972740863,0.7888158798143364,0.8220508975357559,0.013270872105797504,0.05839967536251402,0.07950718654614593,0.05242668602635935,0.5716170203808798,0.5411266304545912,0.6056429390558064,0.019916309105076118,0.03627244101766169,0.07599046689206689,0.3179010637474726,0.0015010226064752221,0.41263956530028867,0.01889888153281223,0.16278697782949644,0.769734554500346,0.05154110267147381,0.4347106398254,0.13717771884906294,0.049803224501330214,0.06329122494784493,0.09618603623102594,0.014226081793527733,0.30275205154923396,0.9251839822969888,0.009085141231419487,0.1603129235106492,0.047228260453063026
Anaerolineae,0.001899562468203009,0.20499473914325547,1.0,5.3067375397699576e-08,8.383637949050461e-07,6.037007573687431e-21,1.6391775522814862e-13,6.061175626751479e-12,1.73510038234688e-28,0.03312848237510828,3.732908586424883e-30,4.975409336891773e-25,1.3792612984703394e-05,3.1289280495794065e-25,4.303831903629447e-15,0.11123968679260214,0.7064501540204748,0.021366845762221007,2.077632229621282e-07,2.380469057460474e-25,7.517170593775402e-09,1.589343464772752e-09,0.9301200398615329,9.529310365185147e-13,6.633770699572845e-09,2.4598428038398536e-06,1.3378504642095443e-12,8.217363272959302e-17,4.452055109292111e-06,6.086623681259466e-05,0.732693659881388,1.5606019209872334e-10,0.0015571808930379416,0.4080851978546916,9.204665402050834e-23,0.25893264457412557,1.3899814907969375e-12,4.0928299134321e-19,0.0015201915133102775,0.5248465919109955,6.640182290851886e-05,8.083661233874096e-39,0.00031317489193405693,0.002911012968734612,2.236586617387494e-23,7.307203836025717e-25
Azonexus,0.6747496932960956,0.005359554334841102,5.3067375397699576e-08,1.0,0.7541843944976625,1.9299604168383473e-08,5.554797382258513e-13,5.811852567790493e-16,2.7961790492919364e-08,0.0005971393131989643,3.6768079244676603e-07,1.1433726422506847e-05,0.00373648308678845,4.3858181076043385e-16,0.0002044447949696199,0.04567601982821582,0.3233763687413395,0.11130641335855773,5.5522638225942737e-14,6.43476140192725e-10,1.9056406462151683e-06,8.367204944265918e-15,0.5181093983317289,0.5388249168302864,8.551211302922557e-10,1.5681866235707356e-12,7.605777446194831e-10,0.0001074982240778418,2.528563990798244e-05,4.3564914752040666e-06,0.044740168720976414,1.2931946375319595e-11,3.904605077952742e-07,0.7111436958379218,7.011818043465484e-07,0.3974390662620634,0.05593813460007068,2.647384346054648e-12,2.077893609494234e-06,0.008758445146856425,1.6609779159201928e-09,1.3643328747529888e-07,0.4859665082342262,9.298750752978087e-13,1.5870803830577905e-10,1.138647287431178e-09
Azospira,0.0012173256849790234,0.451139879470886,8.383637949050461e-07,0.7541843944976625,1.0,3.929066099910918e-07,0.0007479265212943853,0.11369093912757768,6.565562309974459e-07,0.018640095000948927,4.572573589401203e-06,1.573289494854214e-08,0.10070094817793013,0.006918180557991762,7.304443934112588e-09,1.0909012868089388e-09,0.011773926332168306,2.1238974521611054e-09,0.19416143891241405,9.506757524079161e-05,0.16394423484330106,0.1521862082965231,0.3121621891390438,2.1389226037204506e-08,0.5505239107120846,0.3325011609648586,0.004246663759794611,1.521898929783839e-10,0.4665161614751728,0.48963023138230255,0.25897437487217206,0.029245732969324076,0.6228987728510891,0.722886393005338,1.3595851067245624e-06,0.016022460641882005,5.790846734307763e-11,0.09085134984314976,0.455700562079355,0.0026136361154333364,0.0340343897088402,1.3744405532208397e-06,1.3401226046867934e-10,0.015216705120628175,0.001392624426529362,1.0894656048710595e-05
Bacteria,0.011232561867057735,0.056692682530297675,6.037007573687431e-21,1.9299604168383473e-08,3.929066099910918e-07,1.0,2.1646644341746428e-11,2.1647770136665178e-11,2.6933122023217345e-18,0.00015482423348397615,4.1083587182304446e-17,9.162198515788008e-18,8.371890935436606e-05,7.911296976852067e-20,2.3460800427752253e-12,0.24625164341753775,0.41479394643602185,0.041910715451000925,5.785816793390906e-06,1.0436899242691318e-21,0.00017793690466130421,2.1107657675193924e-12,0.011642120170234745,6.910726614963956e-10,5.119686951465744e-07,0.0002133049055480074,5.6108810696533106e-21,1.6260985788723794e-13,0.00042299415323082765,0.00029696032719909933,0.12194432755114014,3.151278557438204e-14,9.552305271310553e-07,0.16616125360661896,3.518652158176605e-23,0.2925619768017947,4.1822680459119983e-07,2.5608439747451126e-10,0.0023662536928256215,0.7085095312990164,3.1949370387798603e-06,2.6251564160732054e-17,0.003708210385897785,0.0010453534760874105,4.15862777102069e-11,3.963932706662458e-23
Bosea,0.08748299910954344,0.059282905779675266,1.6391775522814862e-13,5.554797382258513e-13,0.0007479265212943853,2.1646644341746428e-11,1.0,9.815756414166568e-16,4.474713613391787e-11,8.277001121289992e-08,1.1355217525809952e-09,5.615332373233393e-10,0.0454328062449887,4.5151930465041346e-18,6.861924523184025e-16,0.03723329993784635,0.8084891709390647,0.09835286325477959,1.4163894816807399e-09,6.63088900722264e-14,0.0006403126088883319,4.83945148765871e-11,0.07657615622149418,0.0012356250502272635,1.368941004382169e-05,1.3278945891840318e-08,4.917918421291141e-10,5.945764875153172e-18,0.008262455601704067,1.4366748861908463e-08,0.033161258459574024,2.0482191645354163e-19,3.5491313604791605e-09,0.04868538177479681,9.543554140995057e-11,0.8090197322392577,3.968689509855089e-06,1.5717338604082937e-12,0.0902052671788077,0.20229378397534073,1.1222456964585732e-06,2.226784993377073e-14,0.0004525385349757351,1.5793636028822928e-06,1.0047437431528533e-11,2.2705797798492753e-12
Ca_Accumulibacter,0.0007434398852629291,0.19541977821620082,6.061175626751479e-12,5.811852567790493e-16,0.11369093912757768,2.1647770136665178e-11,9.815756414166568e-16,1.0,2.0673827531182023e-12,1.0748730576363628e-05,7.898249545171054e-11,1.6607564007896358e-08,0.0036828249389015306,2.562216589668407e-20,2.5263834936014453e-09,0.6815251739994118,0.3788654000410279,0.8568597119269323,1.3336915461700142e-06,2.118238385331504e-15,1.0660921444824015e-05,7.906247128040857e-22,0.5379888631152547,0.0005798609804392233,4.094115894319502e-08,2.5483143685495533e-07,1.0074974454473033e-17,8.289886706886353e-09,3.8764672623907943e-05,1.1199360221177346e-09,0.000698905814531962,1.9553633371738775e-13,2.2388076507388664e-09,0.3288004229670007,1.7042543137865114e-14,0.1422839752540634,0.0002875254058209438,3.703696412144345e-10,0.0009214339360231928,0.39324669450792826,1.1703513877067652e-08,2.0320637684105676e-13,0.2202070791825393,2.3368057227303663e-08,2.6161178661386836e-11,5.828347273454214e-13
Ca_Caldilinea,0.0004750485054523282,0.05785193478322747,1.73510038234688e-28,2.7961790492919364e-08,6.565562309974459e-07,2.6933122023217345e-18,4.474713613391787e-11,2.0673827531182023e-12,1.0,0.03543349309207755,7.572925520628406e-27,7.600790494464414e-24,0.00039867546842160096,4.008300065353167e-21,9.553104060346455e-11,0.49495514209531627,0.3224181061667165,0.04545745724895353,5.232136504252999e-07,2.1425320427997556e-18,3.2956635965871075e-12,1.8078314942749526e-12,0.3367364969110736,9.99788782412341e-12,2.070719111130929e-09,5.7068230101553096e-05,3.5249987237153554e-14,1.8477892510930496e-14,4.586093297335482e-09,0.005527408412651711,0.021627748736794704,5.696759039696165e-07,0.027774239713366313,0.009424671951830684,8.836082574964626e-25,0.0018166822210866353,1.069931465810817e-12,3.7371447133532384e-15,4.09570964103772e-05,0.5019519931681872,0.008247297930078726,8.529116858724875e-29,0.010937607850748753,0.01695411232453611,4.1871199553417416e-20,1.379247053402168e-20
Ca_Competibacter,0.16133915015273548,0.6391313010654565,0.03312848237510828,0.0005971393131989643,0.018640095000948927,0.00015482423348397615,8.277001121289992e-08,1.0748730576363628e-05,0.03543349309207755,1.0,0.1714640729164847,0.010189991550016611,0.9291596786833975,0.0008797682545034159,1.1121930003992742e-05,0.0001372920097028516,0.005880338663938373,0.006059395494665376,0.022709259973887477,0.005225749284942805,0.09428461127797681,0.0006388380966321033,2.1359041969939083e-05,0.7342939893528531,0.803863172434247,0.017898894225626613,2.121951158801677e-05,2.3621553102417605e-06,0.4585663756914743,0.00028759138419694625,0.0327640083097919,3.39463910701929e-11,3.302388867579703e-13,0.10323686132463532,0.0002998847791265401,0.6009956755561654,0.22370248612592736,0.1542687062064583,0.3753037945383485,0.23229583668792758,0.002511111335367225,0.039297887558923696,0.00174269456761102,0.0042158905666365865,0.2077552883804295,6.528150516501027e-05
Ca_Leptovillus,7.356929966279928e-05,0.6765667995744348,3.732908586424883e-30,3.6768079244676603e-07,4.572573589401203e-06,4.1083587182304446e-17,1.1355217525809952e-09,7.898249545171054e-11,7.572925520628406e-27,0.1714640729164847,1.0,7.090713918829272e-16,2.0602016316320935e-05,2.313745398421863e-21,1.9568129361003687e-11,0.8383446709778305,0.14374361134186334,0.47015662872676384,1.9029664985021392e-08,4.510976157759405e-19,1.8604224539810576e-12,4.132930071290242e-12,0.6118302755346268,1.3098649489556742e-10,1.2453749412168873e-16,1.2133241108194317e-05,7.244945350417561e-13,1.9092505278203379e-10,6.537267234604404e-10,0.045187991906389204,0.2585709020590324,1.8246017176524346e-07,0.014709017731460296,0.03805872022979474,1.8470085824312937e-19,0.0031742673490001982,2.811560267287651e-08,1.3839030583686948e-20,5.7068230101553096e-05,0.9097211609881063,0.0013684653715933185,1.93594555042455e-32,0.03153356142530826,0.006064642752670011,2.3435660830226763e-27,1.2635161326789663e-15
