sample_id,abundance_day,op_day,date,note,COD-Inf [mg/L],COD-Inf [mg/L]#2,P-Inf [mg/L],P-return [mg/L],N-Inf [mg/L],N-Inf [mg/L]#2,COD:P,COD:N,N:P,P_An-1 [mg/L],Acetate ppm [mg/L],Propionate ppm [mg/L],Acetate ppm [COD mg/L],Propionate ppm [COD mg/L],COD_An_1 [COD mg/L],P_An-2 [COD mg/L],Acetate ppm [mg/L]#2,Propionate ppm [mg/L]#2,COD_An_2 [COD mg/L],DO_An-1 [mg/L],DO_An-2 [mg/L],OPR_An-1 [mV],OPR_An-2 [mV],An_time [minutes],P_Ax-1 [mg/L],N_Ax-1 [mg/L],P_Ax-2 [mg/L],N_Ax-2 [mg/L],peakN2O [mg/L],pN2O_time [minutes],ORP_Ax-2 [mV],Ax_react_time [minutes],Ax_time [minutes],P_A-1 [mg/L],P_A-2 [mg/L],A_time [minutes],MLSS,MLSS [avg],SRT,COD removal [COD%],N removal [N%],N to N2O conversion [N2O%],P removal [P%],Cod removal (ppm) [COD-ppm],N removal (ppm) [N-ppn],P removal (ppm) [P-ppm],Anoxic P removal [ANO-P-ppm],Aerobic P removal [AER-P-ppm],COD removal [COD%]#2,N removal [N%]#2,N to N2O conversion [N2O%]#2,P removal [P%]#2,denitrification rate [mg NO2–N  h−1],specific denitrification rates [mg NO2–N g−1 VSS−1 h−1],specific denitrifying P uptake rate,anoxic:aerobic P uptake rate ratio
,-239.0,0.0,2023-12-05,add new biomass from stickney ; N2O change time so is correct,,,,,,,,,,,,,,,,,,,,9.54,,,,80.0,,,,,,,,175.0,180.0,,,100.0,,3740.000000000009,,,,,,,,,,,,,,,,,,
,-238.0,1.0,2023-12-06,adjust pH to fluctuate between 6.8 to 7.9,69.676,,9.05,22.7,4.49,,7.69900552486188,7.75902004454343,0.992265193370166,17.9,,,,,34.838,29.0,,,2.87,1.12,0.23,-72.0,-165.0,80.0,29.0,4.49,34.8,1e-05,,,-163.0,175.0,180.0,34.8,6.949999999999999,100.0,,3740.000000000009,,0.9588093461163096,0.999997772828508,0.0,0.2320441988950276,66.806,4.489990000000001,2.1,-5.799999999999997,27.85,0.9588093461163096,0.999997772828508,0.0,0.2320441988950276,1.539425142857143,0.4116110007639409,,
,-237.0,2.0,2023-12-07,,71.676,,9.05,22.7,4.49,,7.920000000000001,7.981737193763919,0.992265193370166,17.9,,,,,35.838,29.0,,,2.87,2.06,0.23,-72.0,-165.0,80.0,29.0,4.49,34.8,1e-05,,,-163.0,175.0,180.0,34.8,6.949999999999999,100.0,3740.000000000009,3740.000000000009,47.341772151898304,0.9599587030526257,0.999997772828508,0.0,0.2320441988950276,68.806,4.489990000000001,2.1,-5.799999999999997,27.85,0.9599587030526257,0.999997772828508,0.0,0.2320441988950276,1.539425142857143,0.4116110007639409,,
,-236.0,3.0,2023-12-08,,,,9.05,,,,,,,,,,,,,,,,,5.61,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,3740.000000000009,,,,,1.0,,,,,,,,,,,,,
,-235.0,4.0,2023-12-09,,,,9.05,,,,,,,,,,,,,,,,,9.49,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,3740.000000000009,,,,,1.0,,,,,,,,,,,,,
,-234.0,5.0,2023-12-10,,,,9.05,,,,,,,,,,,,,,,,,7.24,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,,,,,,1.0,,,,,,,,,,,,,
,-233.0,6.0,2023-12-11,change tubing,121.824,,10.064,1.788,9.92,,12.104928457869637,6.140322580645162,1.971383147853736,6.82,,,,,60.912000000000006,14.2,,,2.72,7.58,,,,80.0,14.2,9.92,11.8,1e-05,0.0099999999999999,,,175.0,180.0,11.8,8.04,100.0,,,,0.977672708169162,0.999998991935484,0.0010080655323241,0.2011128775834659,119.104,9.91999,2.024000000000001,2.4000000000000004,3.76,0.977672708169162,0.999998991935484,0.0010080655323241,0.2011128775834659,3.4011394285714287,,,
,-232.0,7.0,2023-12-12,pH_max set to 7.8,,,10.064,,,,,,,,,,,,,,,,,6.44,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,,,,,,1.0,,,,,,,,,,,,,
,-231.0,8.0,2023-12-13,,,,10.064,,,,,,,,,,,,,,,,,8.08,,,,80.0,0.0,,,,0.08,,,175.0,180.0,0.0,,100.0,,,,,,,1.0,,,,,,,,,,,,,
,-230.0,9.0,2023-12-14,,,,10.064,,,,,,,,,,,,,,,,,8.16,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,,,,,,1.0,,,,,,,,,,,,,
