asv,asv_len,best_cosine,abundance,midas_genus,besthit_genus,genus_best_concordant,genus_any20_concordant,genus_evaluable,midas_family,besthit_family,family_best_concordant,family_any20_concordant,family_evaluable,midas_order,besthit_order,order_best_concordant,order_any20_concordant,order_evaluable,midas_class,besthit_class,class_best_concordant,class_any20_concordant,class_evaluable,midas_phylum,besthit_phylum,phylum_best_concordant,phylum_any20_concordant,phylum_evaluable
003284e7643a47fcdab27891cced2a66,391,0.9941,0.002329,midas_g_31688,,False,False,False,D05-2,Xanthobacteraceae,False,False,True,Rhizobiales,Hyphomicrobiales,False,False,True,Alphaproteobacteria,Alphaproteobacteria,True,True,True,Proteobacteria,Pseudomonadota,True,True,True
00513cae3b2877bc7a7730f40312f97f,370,0.9873,0.000563,Ca_Competibacter,,False,True,True,Competibacteraceae,Candidatus Competibacteraceae,True,True,True,Competibacterales,,False,False,True,Gammaproteobacteria,Gammaproteobacteria,True,True,True,Proteobacteria,Pseudomonadota,True,True,True
005cf4f1d005d86d57ffdd01808ea21e,370,0.999,0.033629,Aurantisolimonas,Phnomibacter,False,False,True,Chitinophagaceae,Chitinophagaceae,True,True,True,Chitinophagales,Chitinophagales,True,True,True,Bacteroidia,Chitinophagia,False,True,True,Bacteroidota,Bacteroidota,True,True,True
006a3bfa4e7ea6a4788e31b776b7e6c1,373,0.998,0.001674,Sphingopyxis,,False,True,True,Sphingomonadaceae,Sphingomonadaceae,True,True,True,Sphingomonadales,Sphingomonadales,True,True,True,Alphaproteobacteria,Alphaproteobacteria,True,True,True,Proteobacteria,Pseudomonadota,True,True,True
00857485ad05de1627ccc3881aaabdb0,374,0.9937,0.000556,midas_g_73008,,False,False,False,midas_f_73008,,False,False,False,midas_o_25924,,False,False,False,bacteriap25,,False,False,True,Myxococcota,,False,True,True
009564af4e60c5118899caed7c0dd586,370,0.9995,0.018603,Sediminibacterium,,False,True,True,Chitinophagaceae,,False,True,True,Chitinophagales,,False,True,True,Bacteroidia,Sphingobacteriia,False,False,True,Bacteroidota,Bacteroidota,True,True,True
00a674ff1b3eedd6d12d958bed100a74,374,0.9961,0.00044,midas_g_6890,,False,False,False,midas_f_2390,,False,False,False,0319-6G20,,False,False,True,Oligoflexia,,False,False,True,Bdellovibrionota,,False,True,True
00c3ca16f3d6ddeff7533f98676fa214,374,0.999,0.00032,midas_g_1668,,False,False,False,Caldilineaceae,,False,True,True,Caldilineales,,False,True,True,Anaerolineae,,False,True,True,Chloroflexi,Minisyncoccota,False,True,True
00db0c0419e71a3222dc483990c535b9,543,0.7842,0.153785,nan,,False,False,False,nan,Atopobiaceae,False,False,False,nan,Coriobacteriales,False,False,False,nan,Coriobacteriia,False,False,False,nan,Actinomycetota,False,False,False
00dd8e42dc15418793a226b9e5a15faf,350,0.9873,0.001196,nan,Nocardioides,False,False,False,nan,Nocardioidaceae,False,False,False,nan,Propionibacteriales,False,False,False,nan,Actinomycetes,False,False,False,nan,Actinomycetota,False,False,False
