asv,asv_len,midas_genus,best_hit_organism,best_cosine,naive_best_cosine,genus_concordant,novel,best_taxon_id,best_n_genomes
003284e7643a47fcdab27891cced2a66,391,midas_g_31688,Xanthobacteraceae bacterium SMAG_U13480,0.9941,0.9946,False,False,2021379.0,1
00513cae3b2877bc7a7730f40312f97f,370,ca_competibacter,Candidatus Competibacteraceae bacterium strain Lyne_18-Q3-R50-59_BATAC.383_cln,0.9873,0.9795,False,False,2053538.0,1
005cf4f1d005d86d57ffdd01808ea21e,370,aurantisolimonas,Phnomibacter sp. MR,0.999,0.9922,False,False,3042318.0,2
006a3bfa4e7ea6a4788e31b776b7e6c1,373,sphingopyxis,Sphingomonadaceae bacterium 3R27B10,0.998,0.9912,False,False,2502218.0,2
00857485ad05de1627ccc3881aaabdb0,374,midas_g_73008,bacterium SMAG_U16413,0.9937,0.9873,False,False,1869227.0,1
009564af4e60c5118899caed7c0dd586,370,sediminibacterium,Sphingobacteriia bacterium strain AER1_1,0.9995,0.9917,False,False,2035813.0,1
00a674ff1b3eedd6d12d958bed100a74,374,midas_g_6890,bacterium strain WB4_3_0948,0.9961,0.9917,False,False,1869227.0,1
00c3ca16f3d6ddeff7533f98676fa214,374,midas_g_1668,Candidatus Paceibacterota bacterium UR_AS_maxbin.219,0.999,0.9917,False,False,2053589.0,1
00db0c0419e71a3222dc483990c535b9,543,bacteria,Atopobiaceae bacterium AF91-08IFCA,0.7842,0.9365,False,True,2996876.0,1
00dd8e42dc15418793a226b9e5a15faf,350,bacteria,Nocardioides sp. SCSIO 67246,0.9873,0.9883,False,False,2872154.0,6
00f36962721c382fa009aab208745ba0,375,midas_g_10988,Microthrixaceae bacterium strain HK-STAS-ACTI-7,0.9995,0.9937,False,False,2497627.0,8
00f9ebbd116e56c9858776b48b74565e,396,luteimonas,Stenotrophomonas sp. TEPEL,0.9922,0.9927,False,False,2283801.0,1
00fb9aad4ff840201dfcb1ca02405c04,543,bacteria,Atopobiaceae bacterium AF91-08IFCA,0.8018,0.9268,False,True,2996876.0,1
010986139ed60489250b7a421e4d63d9,370,midas_g_6110,Bacillota bacterium USST_maxbin.110,0.9985,0.9912,False,False,1879010.0,1
010c4e8cfb1c11912d23e854660dd57b,374,comamonadaceae,bacterium H07624-L1_cleanbin_000002,0.9932,0.9917,False,False,1869227.0,1
011befe1668bc005622daeaefd053a7b,373,midas_f_2290,bacterium USDV_maxbin.049,0.9946,0.9907,False,False,1869227.0,2
012538fa4337eb1e9e3874a2e0792491,393,rhodobacter,Nitratireductor sp. AC3.4,0.9907,0.9922,False,False,1872084.0,1
0138936a169c4a0914606cedbcd38fa6,377,midas_g_399,Candidatus Nanopelagicales bacterium AS_Ams2_Bin44,0.999,0.9912,False,False,2518612.0,2
01678bd1450874fd4ee087d0d2ee5349,371,desulfovibrio,Desulfovibrio gigas DSM 1382 = ATCC 19364,0.998,0.9888,True,False,1121448.0,1
016fa797236db441417c96f55f929969,374,midas_g_9443,Proteobacteria bacterium strain PMG_129,0.998,0.9927,False,False,1977087.0,1
01a7c19fe64d4300e6e5a8a7280a10bb,372,comamonadaceae,Comamonas aquatica BB1486,1.0,0.9976,False,False,225991.0,28
01e6385565684b446c620b0be139197b,543,bacteria,Atopobiaceae bacterium AF91-08IFCA,0.8086,0.9263,False,True,2996876.0,1
0201ad826209ed7fb2b6de607f76957e,374,anaerolinea,Anaerolineaceae bacterium CA_178,0.9961,0.9917,False,False,2024896.0,1
