ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
nosZ_cladeI	CAN_1_bin.177	3.3720	2.8909	2.1836	3.2905	3.0783
nosZ_cladeI	CAN_2_bin.173	1.6699	1.0536	2.1245	0.0000	0.8531
nosZ_cladeI	CAN_2_bin.23	1.0731	1.5544	1.7518	0.4688	0.1709
nosZ_cladeI	CAN_3_bin.10	3.7556	3.0881	3.2114	3.0909	3.8281
nosZ_cladeI	CAN_3_bin.216	1.4345	1.8894	1.6212	0.0000	0.8665
nosZ_cladeI	CAN_4_bin.236	2.2525	2.6691	2.5855	1.6046	1.3156
nosZ_cladeI	CAN_4_bin.25	0.0778	0.0505	0.0259	1.4114	1.6161
nosZ_cladeI	CAN_4_bin.44	1.1674	0.0000	0.6382	1.6537	3.1581
nosZ_cladeI	CAN_5_bin.40	3.1595	2.0517	2.5937	3.3761	1.9803
nosZ_cladeI	coasm_bin.105	0.5149	0.3293	0.2271	0.0000	0.4643
nosZ_cladeI	coasm_bin.108	4.0596	0.7374	1.9224	2.1969	1.5305
nosZ_cladeI	coasm_bin.157	0.1028	0.2322	0.1071	0.1566	0.0000
nosZ_cladeI	coasm_bin.171	1.5355	1.6870	1.4400	0.0000	0.0000
nosZ_cladeI	coasm_bin.196	0.3109	0.4133	0.4297	0.1147	0.7683
nosZ_cladeI	coasm_bin.202	0.0000	0.0000	0.0000	2.2758	1.6734
nosZ_cladeI	coasm_bin.203	2.2975	3.8223	2.3361	2.2667	0.3800
nosZ_cladeI	coasm_bin.208	0.0299	0.1777	0.1958	0.0588	0.0000
nosZ_cladeI	coasm_bin.222	1.5197	1.6100	2.2187	0.0000	0.0000
nosZ_cladeI	coasm_bin.233	2.4506	2.5517	1.7845	0.0000	0.0000
nosZ_cladeI	coasm_bin.248	0.0000	0.0000	0.0000	1.9462	5.4542
nosZ_cladeI	coasm_bin.249	2.0219	2.5891	1.2747	1.7528	0.0000
nosZ_cladeI	coasm_bin.31	2.5526	2.5139	0.7653	3.2472	2.1078
nosZ_cladeI	coasm_bin.335	2.0451	1.2112	0.8366	1.0640	0.0000
nosZ_cladeI	coasm_bin.340	6.1823	1.8368	1.1449	6.3744	5.4075
nosZ_cladeI	coasm_bin.365	0.0416	0.0000	0.0000	0.2784	1.0879
nosZ_cladeI	coasm_bin.392	2.3712	2.5009	2.1559	1.9178	0.0000
nosZ_cladeI	coasm_bin.394	0.9726	1.7036	1.4814	0.0000	1.1228
nosZ_cladeI	coasm_bin.399	1.1452	1.4022	1.6310	1.9867	1.1756
nosZ_cladeI	coasm_bin.420	3.0062	4.2145	2.9363	3.1821	0.7956
nosZ_cladeI	coasm_bin.497	3.7523	3.2254	3.1356	7.9367	8.9839
nosZ_cladeI	coasm_bin.51	2.5679	1.7433	1.4162	0.5434	0.9364
nosZ_cladeI	coasm_bin.514	0.0000	0.0000	0.0000	4.5870	1.7675
nosZ_cladeI	coasm_bin.538	3.4747	1.3580	1.4065	1.5721	1.2635
nosZ_cladeI	coasm_bin.55	0.6435	0.3320	0.3229	6.3797	2.8882
nosZ_cladeI	coasm_bin.555	0.8522	0.8736	1.2214	2.4311	3.0658
nosZ_cladeII	CAN_1_bin.77	2.6039	2.4183	2.8325	2.9826	2.6734
nosZ_cladeII	CAN_1_bin.98	1.8435	2.0185	1.7824	2.1074	1.6363
nosZ_cladeII	CAN_2_bin.176	2.5949	3.1011	2.8743	4.4946	0.5573
nosZ_cladeII	CAN_2_bin.6	2.1938	2.4492	2.1745	2.0956	1.0098
nosZ_cladeII	CAN_2_bin.66	3.2906	3.2061	1.7462	7.0441	9.4310
nosZ_cladeII	CAN_3_bin.203	2.2223	2.2336	3.1393	3.1329	2.6015
nosZ_cladeII	CAN_3_bin.205	2.9580	1.8885	3.1532	6.1142	0.0000
nosZ_cladeII	CAN_3_bin.208	1.2390	1.1096	1.2875	0.3557	0.0000
nosZ_cladeII	CAN_3_bin.221	3.5815	3.4883	3.7625	4.4864	3.3677
nosZ_cladeII	CAN_3_bin.227	2.5155	3.5060	3.3452	0.0000	0.0000
nosZ_cladeII	CAN_4_bin.103	3.1720	13.9352	8.9880	3.3925	3.8989
nosZ_cladeII	CAN_4_bin.107	1.4918	0.0000	1.5670	2.7291	2.5161
nosZ_cladeII	CAN_4_bin.112	20.9867	69.2273	47.4467	3.7633	5.6519
nosZ_cladeII	CAN_4_bin.166	2.8010	1.6615	2.2899	2.5825	5.2261
nosZ_cladeII	CAN_4_bin.195	0.7155	1.0456	0.7222	1.6800	1.2323
nosZ_cladeII	CAN_4_bin.197	0.0000	10.9407	10.5781	4.7287	2.8091
nosZ_cladeII	CAN_4_bin.208	2.1092	2.0350	2.6132	3.1433	0.5349
nosZ_cladeII	CAN_4_bin.220	1.4818	2.4843	4.1933	2.6460	2.9721
nosZ_cladeII	CAN_4_bin.225	0.0000	0.0000	0.1017	1.0663	0.6877
nosZ_cladeII	CAN_4_bin.238	2.1455	1.5652	2.7397	3.5071	2.7027
nosZ_cladeII	CAN_4_bin.64	1.0701	0.7353	0.8315	1.2643	0.2790
