parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed
Acetate ppm [mg/L],Acetoanaerobium,0.6925461756273147,0.0005025455860687877,21,0.7071067811865475,0.18169011381620942,5,0.002693248361029134,0.3718612742378433,False
Acetate ppm [mg/L],Acidaminobacter,,,21,,,5,,,False
Acetate ppm [mg/L],Acidibacter,0.24075814523105282,0.2931214690839985,21,0.7071067811865475,0.18169011381620942,5,0.42631660204826827,0.3718612742378433,False
Acetate ppm [mg/L],Acidithiobacillaceae,0.6724015489332404,0.0008400389781906503,21,0.7071067811865475,0.18169011381620942,5,0.003978000280680981,0.3718612742378433,False
Acetate ppm [mg/L],Acidobacteriae,0.6724015489332404,0.0008400389781906503,21,0.7071067811865475,0.18169011381620942,5,0.003978000280680981,0.3718612742378433,False
Acetate ppm [mg/L],Acidovorax,0.042072614550380576,0.8563089592277713,21,0.6668859288553501,0.21889398131323157,5,0.9068300113940869,0.41740586344647446,False
Acetate ppm [mg/L],Acinetobacter,0.45868247229386294,0.036493338628968246,21,0.7071067811865475,0.18169011381620942,5,0.08281731656475864,0.3718612742378433,False
Acetate ppm [mg/L],Actinobacteria,0.6818719932844128,0.0006630030531420133,21,0.7071067811865475,0.18169011381620942,5,0.0033412818787300503,0.3718612742378433,False
Acetate ppm [mg/L],Actinomycetaceae,0.6724015489332404,0.0008400389781906503,21,0.7071067811865475,0.18169011381620942,5,0.003978000280680981,0.3718612742378433,False
Acetate ppm [mg/L],Aeromonas,-0.12377915829073319,0.5929559891764136,21,0.09999999999999999,0.8728885715695384,5,0.7062635719652106,0.9303557194445878,False
Acetate ppm [mg/L],Aestuariimicrobium,0.674295637803475,0.0008017360771857914,21,0.7071067811865475,0.18169011381620942,5,0.003854500371085536,0.3718612742378433,False
Acetate ppm [mg/L],Afipia,0.4306518767647936,0.05131096144138163,21,,,5,0.10859322849600456,,False
Acetate ppm [mg/L],Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.6686133711927715,0.0009213266567625972,21,0.7071067811865475,0.18169011381620942,5,0.0042725291987236085,0.3718612742378433,False
Acetate ppm [mg/L],Alphaproteobacteria,-0.37103791341639064,0.09773857106292741,21,-0.35355339059327373,0.5594043441634877,5,0.18222556752191854,0.7323812257782096,False
Acetate ppm [mg/L],Amaricoccus,0.4488470519286938,0.04125144347339362,21,0.49999999999999994,0.3910022189557703,5,0.09112615876693189,0.5995942956650535,False
Acetate ppm [mg/L],Aminobacter,0.6686133711927715,0.0009213266567625972,21,0.7071067811865475,0.18169011381620942,5,0.0042725291987236085,0.3718612742378433,False
Acetate ppm [mg/L],Anaerolinea,0.06105878854022751,0.7926137226851981,21,0.49999999999999994,0.3910022189557703,5,0.8614691682795804,0.5995942956650535,False
Acetate ppm [mg/L],Anaerolineaceae,-0.7246753246753247,0.00020267623916371931,21,-0.39999999999999997,0.5046315754686912,5,0.0012881964353626228,0.6973795284788055,False
Acetate ppm [mg/L],Anaerolineae,-0.92987012987013,1.0810361295691542e-09,21,-0.7999999999999999,0.10408803866182788,5,4.658191396823607e-08,0.258284848339163,False
Acetate ppm [mg/L],Aquimonas,0.17272727272727273,0.45402436101288696,21,0.8999999999999998,0.03738607346849874,5,0.5862808756681067,0.12050930373446342,False
Acetate ppm [mg/L],Arenimonas,0.8088433366790156,9.05995634118358e-06,21,0.8999999999999998,0.03738607346849874,5,9.544281714062671e-05,0.12050930373446342,False
Acetate ppm [mg/L],Aridibacter,-0.14598212986874384,0.52777401260801,21,,,5,0.6535354239121945,,False
Acetate ppm [mg/L],Armatimonadota,0.25722530115175424,0.2603150121528657,21,,,5,0.3893360777860312,,False
Acetate ppm [mg/L],Aurantisolimonas,0.5745059989740254,0.0064510892326509785,21,0.7826237921249264,0.11761376087345812,5,0.02047922386036372,0.27962395702970233,False
Acetate ppm [mg/L],Azoarcus,0.6799779044141784,0.000695607738837305,21,0.7071067811865475,0.18169011381620942,5,0.003468505802549097,0.3718612742378433,False
Acetate ppm [mg/L],Azonexus,-0.3649350649350649,0.10382027127753134,21,0.0,1.0,5,0.19148029562352087,1.0,False
Acetate ppm [mg/L],Azospira,0.7220779220779221,0.0002191009913753788,21,0.8999999999999998,0.03738607346849874,5,0.0013693811960961175,0.12050930373446342,False
Acetate ppm [mg/L],Azovibrio,0.5332017790609896,0.012810065106520314,21,,,5,0.0357759536382732,,False
Acetate ppm [mg/L],Babeliaceae,0.33234702564419843,0.14102988590229734,21,,,5,0.24310966168398257,,False
Acetate ppm [mg/L],Babeliales,0.657788525658566,0.0011913506401065848,21,0.7826237921249264,0.11761376087345812,5,0.005279460278338826,0.27962395702970233,False
Acetate ppm [mg/L],Bacillales,0.24446227728478115,0.28552951862139936,21,0.09999999999999999,0.8728885715695384,5,0.41825377976805117,0.9303557194445878,False
Acetate ppm [mg/L],Bacteria,0.6791722063132863,0.0007098851864032111,21,0.8720815992723809,0.05385421772754213,5,0.003525288819378867,0.15867449892586177,False
Acetate ppm [mg/L],Bacteroidales,-0.6000031830829751,0.00403566936083451,21,0.0,1.0,5,0.013988236917706428,1.0,False
Acetate ppm [mg/L],Bacteroidia,-0.2317332896663819,0.31213396967742285,21,-0.7,0.1881204043741873,5,0.44638825286273365,0.3790206179397924,False
Acetate ppm [mg/L],Bauldia,0.33234702564419843,0.14102988590229734,21,,,5,0.24310966168398257,,False
Acetate ppm [mg/L],Bdellovibrio,0.6579979555620287,0.0011855530318402843,21,0.7,0.1881204043741873,5,0.00525544674657634,0.3790206179397924,False
Acetate ppm [mg/L],Bdellovibrionaceae,0.12145752384085645,0.5999620427406372,21,0.11180339887498947,0.8579446176050994,5,0.7123458277448521,0.9222601264213234,False
Acetate ppm [mg/L],Beijerinckiaceae,0.5546818126999623,0.009062555535239363,21,0.11180339887498947,0.8579446176050994,5,0.027158306274610404,0.9222601264213234,False
