parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed
Ax_time [minutes],Cloacibacterium.14,-0.8837156767416605,8.921792881770397e-26,75,-0.8837156767416605,8.921792881770397e-26,75,1.678412285883056e-21,1.3992047776480514e-21,True
Ax_time [minutes],Sediminibacterium.5,-0.8713775870140285,2.823043466762307e-24,75,-0.8713775870140285,2.823043466762307e-24,75,1.5173858633847402e-20,6.811352413728195e-21,True
Ax_time [minutes],Flavobacterium.12,-0.8682930645821203,6.33450566766539e-24,75,-0.8682930645821203,6.33450566766539e-24,75,2.64817528606567e-20,1.3245873651466174e-20,True
Ax_time [minutes],Kapabacteriales.11,-0.8630800451908256,2.3728229127253312e-23,75,-0.8630800451908256,2.3728229127253312e-23,75,8.116132917390055e-20,4.3779978517966324e-20,True
Ax_time [minutes],Cloacibacterium.7,-0.8615658696729468,3.4470886842074257e-23,75,-0.8615658696729468,3.4470886842074257e-23,75,9.976670134100336e-20,5.690599140465795e-20,True
Ax_time [minutes],Phycisphaeraceae.31,-0.8528704524225801,2.711156761956377e-22,75,-0.8528704524225801,2.711156761956377e-22,75,6.800484877907246e-19,4.049435380739225e-19,True
Ax_time [minutes],Cloacibacterium.1,-0.851328191206626,3.8548818823229143e-22,75,-0.851328191206626,3.8548818823229143e-22,75,8.531760636611744e-19,5.257053266127849e-19,True
Ax_time [minutes],Flavobacterium.9,-0.8497859299906719,5.45948753307968e-22,75,-0.8497859299906719,5.45948753307968e-22,75,9.781581830101094e-19,6.342306887502861e-19,True
Ax_time [minutes],Azonexus.1,-0.8498888365877045,5.334820347739137e-22,75,-0.8498888365877045,5.334820347739137e-22,75,9.781581830101094e-19,6.342306887502861e-19,True
Ax_time [minutes],Arenimonas.4,-0.844856286223864,1.6186253164145661e-21,75,-0.844856286223864,1.6186253164145661e-21,75,2.4360311012039222e-18,1.6377355378922348e-18,True
Ax_time [minutes],Thauera.30,-0.8451591463428099,1.5157359997158845e-21,75,-0.8451591463428099,1.5157359997158845e-21,75,2.4360311012039222e-18,1.6377355378922348e-18,True
Ax_time [minutes],Edaphobaculum.2,-0.8412707542991296,3.485528172984222e-21,75,-0.8412707542991296,3.485528172984222e-21,75,4.522172327880392e-18,3.1236307621092322e-18,True
Ax_time [minutes],Flavobacterium.28,-0.8412707542991296,3.485528172984222e-21,75,-0.8412707542991296,3.485528172984222e-21,75,4.522172327880392e-18,3.1236307621092322e-18,True
Ax_time [minutes],Sutterellaceae.3,-0.8403674124226459,4.2159657675508486e-21,75,-0.8403674124226459,4.2159657675508486e-21,75,5.116958451745184e-18,3.5739995206756744e-18,True
Ax_time [minutes],Gemmobacter.1,-0.8387143899093898,5.9536003191507275e-21,75,-0.8387143899093898,5.9536003191507275e-21,75,6.788006424486247e-18,4.7882212207815825e-18,True
Ax_time [minutes],Stenotrophomonas.2,-0.8359055790470857,1.0607990688840734e-20,75,-0.8359055790470857,1.0607990688840734e-20,75,1.140358999050379e-17,8.115371608443377e-18,True
Ax_time [minutes],Cloacibacterium.2,-0.8341312511667157,1.5194157622494023e-20,75,-0.8341312511667157,1.5194157622494023e-20,75,1.5450815690441557e-17,1.108325460435227e-17,True
Ax_time [minutes],Flavobacteriales.4,-0.8328210566151775,1.9757273095965628e-20,75,-0.8328210566151775,1.9757273095965628e-20,75,1.8130912200870897e-17,1.3185247402724636e-17,True
Ax_time [minutes],Comamonadaceae.8,-0.8328210566151775,1.9757273095965628e-20,75,-0.8328210566151775,1.9757273095965628e-20,75,1.8130912200870897e-17,1.3185247402724636e-17,True
Ax_time [minutes],Chryseobacterium.6,-0.8319233014735837,2.362152838339872e-20,75,-0.8319233014735837,2.362152838339872e-20,75,1.9750222342786148e-17,1.4527703123013417e-17,True
Ax_time [minutes],Leadbetterella.14,-0.8319233014735837,2.362152838339872e-20,75,-0.8319233014735837,2.362152838339872e-20,75,1.9750222342786148e-17,1.4527703123013417e-17,True
Ax_time [minutes],Pannonibacter.1,-0.8303653926693261,3.2126152108602234e-20,75,-0.8303653926693261,3.2126152108602234e-20,75,2.5718010065662954e-17,1.9012620510158818e-17,True
Ax_time [minutes],Chryseobacterium.9,-0.8290040761940045,4.1923056293282044e-20,75,-0.8290040761940045,4.1923056293282044e-20,75,3.219091822519871e-17,2.3908337885365168e-17,True
Ax_time [minutes],Brevundimonas.12,-0.8272495750608108,5.887661409595548e-20,75,-0.8272495750608108,5.887661409595548e-20,75,4.343593343843775e-17,3.239866452164456e-17,True
Ax_time [minutes],Phycisphaeraceae.13,-0.8251097505354075,8.86333094308909e-20,75,-0.8251097505354075,8.86333094308909e-20,75,6.292128806296734e-17,4.7119870908632603e-17,True
