MAG	K00134	K01596	K01006
CAN_1_bin.148	1	1	0
CAN_1_bin.177	2	0	1
CAN_1_bin.180	1	1	1
CAN_1_bin.195	1	0	0
CAN_1_bin.2	1	1	1
CAN_1_bin.210	1	1	0
CAN_1_bin.5	1	0	1
CAN_1_bin.77	1	1	1
CAN_1_bin.84	1	1	1
CAN_1_bin.98	1	1	1
CAN_2_bin.125	1	1	0
CAN_2_bin.151	1	1	1
CAN_2_bin.159	1	1	0
CAN_2_bin.173	1	1	0
CAN_2_bin.176	1	1	1
CAN_2_bin.23	1	1	0
CAN_2_bin.6	1	1	1
CAN_2_bin.66	0	1	1
CAN_3_bin.10	2	0	1
CAN_3_bin.124	1	1	0
CAN_3_bin.13	1	1	0
CAN_3_bin.203	1	0	1
CAN_3_bin.205	1	1	1
CAN_3_bin.208	1	3	0
CAN_3_bin.216	1	1	0
CAN_3_bin.221	1	1	1
CAN_3_bin.227	1	0	0
CAN_3_bin.43	1	1	0
CAN_4_bin.103	1	1	1
CAN_4_bin.107	0	2	1
CAN_4_bin.11	1	0	1
CAN_4_bin.112	1	0	0
CAN_4_bin.116	1	1	1
CAN_4_bin.142	1	0	0
CAN_4_bin.152	1	1	1
CAN_4_bin.154	1	1	0
CAN_4_bin.166	1	1	1
CAN_4_bin.195	1	1	1
CAN_4_bin.197	1	1	1
CAN_4_bin.208	1	1	0
CAN_4_bin.220	1	0	1
CAN_4_bin.225	1	0	0
CAN_4_bin.236	1	1	0
CAN_4_bin.238	1	1	1
CAN_4_bin.25	1	1	1
CAN_4_bin.35	1	1	1
CAN_4_bin.38	0	0	1
CAN_4_bin.44	1	0	1
CAN_4_bin.64	1	1	1
CAN_4_bin.70	0	1	0
CAN_4_bin.72	1	1	2
CAN_4_bin.92	1	0	1
CAN_5_bin.1	1	0	1
CAN_5_bin.100	0	0	1
CAN_5_bin.106	1	1	1
CAN_5_bin.112	1	1	1
CAN_5_bin.145	1	0	0
CAN_5_bin.147	1	1	1
CAN_5_bin.149	1	0	0
