ko	root_iterativeID	n_MAGs	genus	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
K00023	Ca_Competibacter	6	Competibacter	275.9496	275.4995	264.2194	236.5159	117.1394
K00023	Ca_Accumulibacter	3	Accumulibacter	43.2985	18.8957	20.1725	69.3832	186.7191
K00023	Thauera	1	Thauera	211.8315	534.2347	510.0338	18.1442	9.3969
K00023	JAEULV01_m	1	JAEULV01	16.3735	20.6373	21.8670	23.7998	83.2723
K00023	Niveibacterium	1	Niveibacterium	0.1744	1.8381	1.2603	0.6587	0.0000
K00023	Azonexus	3	Azonexus	8.5530	4.9598	7.9066	46.3474	12.2386
K00023	Propionivibrio	1	Accumulibacter	6.4378	1.3143	2.9490	15.1396	0.8763
K00023	Lysobacter	1	SCMT01	36.1902	29.6399	29.1251	22.0872	5.6318
K00023	Giesbergeria_m	2	Giesbergeria	12.1303	18.1311	17.3308	1.9571	1.2838
K00023	Denitratisoma	1	Desulfobacillus	40.3802	12.5807	13.7469	15.6305	0.2634
K00023	Accumulibacter_m	3	Accumulibacter	7.8308	1.4741	2.0213	4.6485	8.2680
K00023	Zoogloea	3	Zoogloea	11.2652	41.1389	39.4921	0.2439	1.0054
K00023	Bosea	2	JAIUNP01	8.2055	12.6672	9.6531	1.7269	6.3370
K00023	Competibacter_A_m	1	Competibacter_A	0.0000	0.5636	0.0000	0.9694	0.0000
K00023	Azospira	2	Azospira_A	30.1556	26.6778	28.4651	7.8343	0.8892
K00023	Mesorhizobium	4	DUSC01	9.0052	15.2212	14.4659	9.2307	6.8453
K00023	Dokdonella	6	Dokdonella	6.8349	2.5702	3.0173	4.6360	0.3306
K00023	UBA5066_m	3	UBA5066	0.6947	0.6865	0.6276	0.1312	0.0000
K00023	Rhodobacter	4	JAAKGP01	3.2183	4.2654	3.3357	1.9384	1.2920
K00023	Azonexus_m	2	Azonexus	1.9146	1.0823	1.1008	12.2685	1.3454
K00023	Pseudoxanthomonas_A_m	2	Pseudoxanthomonas_A	46.0437	90.1710	89.0601	1.1189	0.9457
K00023	Ottowia_m	1	Ottowia	3.0331	4.6159	6.1127	1.3457	0.7761
K00023	Pseudoxanthomonas	1	Pseudoxanthomonas	17.6194	12.8983	11.7173	33.6492	9.7387
K00023	Rhodobacteraceae	3	Neotabrizicola	0.4717	0.3321	0.6587	4.1841	2.4365
K00023	Hydrogenophaga_m	3	Hydrogenophaga	1.4878	6.6599	4.6842	0.7440	0.4602
K00023	Defluviicoccus_m	2	Defluviicoccus	4.2769	2.2221	4.2475	0.2700	0.3048
K00023	Phaeodactylibacter	1	UBA2329	2.5946	2.2792	0.9376	4.0511	2.7534
K00023	CALBKH01_m	1	CALBKH01	0.3365	0.0000	0.3040	0.1271	3.4433
K00023	Rhodoplanes	1	SCUB01	0.0731	0.2891	0.0000	0.9392	2.6190
K00023	Desulfobacillus_m	1	Desulfobacillus	10.6366	3.6763	4.8835	3.9522	0.0991
K00023	Phreatobacter_m	2	Phreatobacter	2.4853	0.5564	2.1131	1.6322	1.2282
K00023	Arenimonas	4	Chiayiivirga	5.7734	6.5694	5.1380	2.2476	0.1493
K00023	UBA1573_m	3	UBA1573	11.4106	11.9393	9.0563	33.7834	28.0182
