locus_id	mag	bam_contig	raw_contig	start0	end	strand	subtype	hmm_score	evalue
CAN_1_bin_177__contig_4767_pilon__g751077	CAN_1_bin.177	CAN_1_bin_177::contig_4767_pilon	contig_4767_pilon	751076	753020	+	C-NosZ	755.8	7.8e-228
CAN_1_bin_77__contig_25145_pilon__g605601	CAN_1_bin.77	CAN_1_bin_77::contig_25145_pilon	contig_25145_pilon	605600	607469	+	C-NosZ	716.6	6.5e-216
CAN_1_bin_98__contig_1207_pilon__g2643351	CAN_1_bin.98	CAN_1_bin_98::contig_1207_pilon	contig_1207_pilon	2643350	2645618	+	C-NosZ	714.7	2.1e-215
CAN_2_bin_173__contig_18343_pilon__g118649	CAN_2_bin.173	CAN_2_bin_173::contig_18343_pilon	contig_18343_pilon	118648	120187	-	C-NosZ	515.2	5.0e-155
CAN_2_bin_176__contig_3015_pilon__g2108155	CAN_2_bin.176	CAN_2_bin_176::contig_3015_pilon	contig_3015_pilon	2108154	2110023	+	C-NosZ	725.8	1.0e-218
CAN_2_bin_23__contig_3967_pilon__g334656	CAN_2_bin.23	CAN_2_bin_23::contig_3967_pilon	contig_3967_pilon	334655	336608	-	C-NosZ	747.4	2.5e-225
CAN_2_bin_6__contig_4248_pilon__g709024	CAN_2_bin.6	CAN_2_bin_6::contig_4248_pilon	contig_4248_pilon	709023	711315	-	C-NosZ	727.0	2.7e-219
CAN_2_bin_66__contig_18307_pilon__g17717	CAN_2_bin.66	CAN_2_bin_66::contig_18307_pilon	contig_18307_pilon	17716	19633	-	C-NosZ	691.3	1.7e-208
CAN_3_bin_10__contig_7299_pilon__g418278	CAN_3_bin.10	CAN_3_bin_10::contig_7299_pilon	contig_7299_pilon	418277	420227	-	C-NosZ	745.8	7.5e-225
CAN_3_bin_203__contig_7512_pilon__g175559	CAN_3_bin.203	CAN_3_bin_203::contig_7512_pilon	contig_7512_pilon	175558	177844	+	C-NosZ	701.0	2.5e-211
CAN_3_bin_205__contig_22111_pilon__g221768	CAN_3_bin.205	CAN_3_bin_205::contig_22111_pilon	contig_22111_pilon	221767	223786	-	C-NosZ	720.0	4.3e-217
